,,"KNN","DT","NB","MLP"
,,,,,
"BASES","TREINO/TESTE",,,,
"CNN_VGG16_256_avg","10-fold CV","94.74","90.44","96.67","98.52"
,,,,,
"CNN_VGG16_256_max","10-fold CV","94.77","88.25","95.54","98.12"
,,,,,
"CNN_VGG19_128_avg","10-fold CV","89.66","82.46","95.71","95.39"
,,,,,
"CNN_VGG19_128_max","10-fold CV","91.34","81.92","96.37","95.53"
,,,,,
"CNN_VGG19_256_avg","10-fold CV","95.80","90.76","94.46","97.14"
,,,,,
"CNN_VGG19_256_max","10-fold CV","96.26","90.76","94.42","97.92"
,,,,,
,,,,,
"BASES_PCA",,,,,
"CNN_VGG16_256_avg_PCA","10-fold CV","96.31","95.94","94.58","96.99"
,,,,,
"CNN_VGG16_256_max_PCA","10-fold CV","97.23","95.94","93.88","96.77"
,,,,,
"CNN_VGG19_128_avg_PCA","10-fold CV","92.13","91.63","95.62","93.66"
,,,,,
"CNN_VGG19_128_max_PCA","10-fold CV","93.18","91.63","94.17","94.53"
,,,,,
"CNN_VGG19_256_avg_PCA","10-fold CV","96.77","91.63","97.58","94.57"
,,,,,
"CNN_VGG19_256_max_PCA","10-fold CV","97.64","91.63","97.17","97.87"
